"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",54,120,9.5,28,"Sophomore",4,1,85,20,5.5,45,57,10,"few",80
"male",68,154,9,7,"Sophomore",1,1,100,0,7,45,50,4,"millions",60
"female",64,142,7.5,10,"Freshman",0,1,90,20,7,50,54,3,"dozens",90
"male",75,185,12,5,"Sophomore",3,3,100,0,6.5,58,59,3,"one",90
"female",63,110,6.5,11,"Sophomore",1,1,80,0,6.5,59,59,8,"few",35
"female",64,160,8,20,"Sophomore",1,1,75,60,7.5,52,50,10,"one",100
"female",65,115,8.5,15,"Sophomore",8,2,75,40,9,42,43,8,"one",50
"female",67,133,9,7,"Junior",0,0,60,20,7.5,45,45,8,"dozens",85
"female",60,110,7,10,"Sophomore",0,2,47,50,6.5,58,61,5,"few",10
"female",67,120,8,20,"Sophomore",4,0,80,20,6,54,55,3,"few",80
"female",64,119,7.5,17,"Sophomore",3,2,90,20,7,52,56,4,"one",90
"female",65,120,9,15,"Sophomore",0,1,85,200,7,43,51,5,"few",70
"male",71,170,12,7,"Sophomore",10,2,80,20,8,55,56,5,"dozens",25
"female",64,120,8.5,25,"Sophomore",1,1,105,25,7.5,46,55,7,"few",90
"male",70,163,9,10,"Sophomore",4,1,120,0,8,54,57,8,"one",100
"female",66,115,8.5,18,"Freshman",0,2,63,140,6,48,50,4,"few",25
"female",67,138,10,18,"Sophomore",0,0,80,40,8.5,48,48,4,"few",100
"female",61,124,7.5,13,"Sophomore",7,6,87,0,8,37,38,7,"one",30
"female",64,125,7,6,"Sophomore",0,1,80,20,6,54,55,1,"thousands",10
"female",67,120,9.5,12,"Sophomore",0,1,30,10,8,48,50,7,"few",30
"male",65,147,8.5,30,"Sophomore",0,3,110,140,7.5,52,53,10,"one",50
"male",67,140,9.5,5,"Sophomore",2,2,90,60,9,51,52,6,"one",1
"female",64,140,8.5,15,"Junior",4,3,112,22,8,61,65,4,"few",50
"female",65,126,8.5,19,"Junior",0,1,93,70,4.5,50,51,5,"one",90
"female",64,135,7,25,"Sophomore",5,0,95,150,7,49,47,7,"few",90
"female",64,130,7,36,"Sophomore",5,2,85,0,8,51,56,6,"one",50
"female",63,113,7.5,12,"Sophomore",3,2,100,10,9,54,59,9,"few",90
"female",62,125,8,9,"Sophomore",1,1,55,200,7,55,55,9,"dozens",13
"female",62,100,4,40,"Sophomore",3,4,80,30,6,58,60,5,"few",50
"male",67,135,9.5,7,"Freshman",0,1,65,150,6,46,48,7,"dozens",90
"female",64,132,9,12,"Senior",0,2,90,100,6,54,58,2,"few",98
"female",63,112,8,12,"Junior",5,1,120,10,4.5,51,51,5,"one",100
"male",71,120,9.5,2,"Sophomore",0,5,85,15,9,44,53,3,"few",75
"female",63,118,6.5,20,"Sophomore",2,2,85,0,10,49,51,8,"one",98
"male",72,150,11,8,"Sophomore",5,3,110,31,7,43,45,3,"one",80
"female",61,115,7,6,"Junior",0,1,60,59,8,52,56,7,"one",90
"male",66,140,9.5,3,"Sophomore",3,2,62,30,6,48,50,8,"few",10
"female",62,117,7.5,22,"Sophomore",2,1,85,42,8,51,51,2,"few",25
"female",69,184,10,12,"Sophomore",2,2,95,14,6.5,41,47,3,"dozens",60
"female",63,104,6.5,20,"Freshman",1,1,100,50,7,49,51,4,"one",50
"male",73,190,13,4,"Junior",0,2,145,9,6,53,53,7,"millions",50
"male",70,164,12,5,"Junior",2,3,100,0,7,57,65,2,"thousands",0
"female",68,155,10.5,20,"Sophomore",2,1,110,1,7,51,50,3,"one",75
"female",63,102,6.5,15,"Sophomore",10,2,101,30,6.5,59,59,6,"few",60
"male",73,205,12,4,"Junior",2,1,90,1,8,62,60,1,"thousands",60
"female",62,126,8.5,15,"Sophomore",3,1,82,66,7,50,52,7,"few",65
"male",70,160,10.5,5,"Junior",1,0,90,20,6.5,52,58,3,"hundreds",100
"female",65,148,9.5,20,"Sophomore",1,0,35,41,7,39,53,4,"few",95
"male",74,205,10.5,7,"Junior",0,3,72,1000,7,41,50,4,"millions",0
"female",64,130,8,20,"Sophomore",3,1,75,0,7,52,52,2,"few",80
"male",71,150,11,6,"Freshman",5,1,100,0,7,43,44,7,"hundreds",50
"female",68,145,10,35,"Sophomore",3,2,92,5,8,51,58,7,"few",70
"male",72,175,13,6,"Junior",2,2,30,11,7,59,64,8,"one",50
"male",71,140,10.5,5,"Sophomore",0,4,70,0,6,45,55,1,"few",50
"male",70,150,9.5,7,"Junior",3,1,100,65,6.5,57,62,5,"few",15
"female",63,112,6,7,"Sophomore",1,1,35,18,7.5,53,54,7,"few",100
"female",65,124,8.5,14,"Sophomore",0,0,40,7,6.5,35,44,6,"one",10
"male",71,140,9,15,"Sophomore",0,1,60,22,7,47,47,3,"few",80
"female",67,150,9.5,12,"Sophomore",4,0,103,19,9,53,53,10,"few",95
"male",74,184,13,4,"Sophomore",0,1,120,20,8,50,56,4,"dozens",75
